iter	Accuracy	CrossEntropy
0	0.9697802198	0.6576024988
1	0.967032967	0.6250801086
2	0.9807692308	0.5917736515
3	0.9752747253	0.5675225729
4	0.978021978	0.5397637336
5	0.978021978	0.5124489082
6	0.978021978	0.4865311004
7	0.9835164835	0.4612193265
8	0.978021978	0.4398226895
9	0.978021978	0.4224291791
10	0.9807692308	0.4040689992
11	0.9807692308	0.3857046693
12	0.978021978	0.3696529263
13	0.978021978	0.3549136487
14	0.978021978	0.3423975641
15	0.978021978	0.3323137053
16	0.9752747253	0.3209260794
17	0.9752747253	0.3103534573
18	0.9752747253	0.2976237077
19	0.9807692308	0.2869432889
20	0.978021978	0.2759562901
