iter	Passed	Remaining
403	11041	43619
404	11068	43592
405	11096	43565
406	11123	43537
407	11150	43508
408	11177	43479
409	11205	43456
410	11233	43432
411	11259	43399
412	11286	43370
413	11313	43339
414	11340	43311
415	11369	43289
416	11397	43264
417	11424	43239
418	11453	43215
419	11479	43183
420	11506	43156
421	11533	43126
422	11562	43105
423	11591	43084
424	11617	43054
425	11644	43023
426	11670	42990
427	11698	42968
428	11726	42941
429	11755	42920
430	11783	42896
431	11812	42874
432	11842	42855
433	11870	42831
434	11898	42806
435	11927	42785
436	11954	42755
437	11981	42726
438	12008	42699
439	12036	42673
440	12064	42650
441	12093	42627
442	12122	42606
443	12150	42581
444	12177	42554
445	12205	42527
446	12236	42514
447	12264	42487
448	12291	42457
449	12317	42426
450	12344	42397
451	12374	42379
452	12402	42354
453	12429	42324
454	12457	42302
455	12486	42278
456	12514	42254
457	12542	42226
458	12569	42201
459	12597	42172
460	12623	42143
461	12650	42113
462	12678	42089
463	12709	42072
464	12736	42044
465	12763	42016
466	12791	41990
467	12817	41958
468	12844	41930
469	12872	41904
470	12901	41881
471	12928	41854
472	12957	41831
473	12987	41810
474	13015	41787
475	13044	41763
476	13071	41734
477	13097	41703
478	13124	41676
479	13151	41647
480	13178	41618
481	13205	41587
482	13231	41557
483	13257	41526
484	13284	41496
485	13311	41467
486	13337	41437
487	13366	41413
488	13395	41391
489	13422	41363
490	13448	41333
491	13475	41303
492	13503	41277
493	13530	41250
494	13558	41223
495	13586	41196
496	13613	41167
497	13640	41140
498	13667	41112
499	13693	41080
500	13721	41054
501	13748	41027
502	13777	41002
503	13805	40977
504	13834	40954
505	13861	40926
506	13888	40897
507	13915	40871
508	13943	40844
509	13970	40815
510	13996	40784
511	14024	40758
512	14051	40730
513	14078	40700
514	14104	40670
515	14130	40638
516	14156	40607
517	14184	40581
518	14211	40552
519	14238	40524
520	14266	40499
521	14292	40468
522	14319	40438
523	14347	40415
524	14379	40400
525	14408	40375
526	14434	40345
527	14462	40320
528	14489	40291
529	14516	40263
530	14543	40235
531	14570	40207
532	14597	40176
533	14623	40146
534	14650	40116
535	14676	40087
536	14705	40063
537	14731	40032
538	14758	40003
539	14786	39978
540	14813	39948
541	14841	39923
542	14868	39896
543	14895	39868
544	14924	39843
545	14951	39814
546	14977	39784
547	15003	39755
548	15032	39729
549	15058	39700
550	15085	39670
551	15112	39643
552	15139	39615
553	15169	39594
554	15197	39568
555	15225	39543
556	15253	39517
557	15282	39493
558	15310	39467
559	15339	39445
560	15370	39426
561	15400	39404
562	15428	39379
563	15456	39352
564	15483	39325
565	15511	39299
566	15538	39270
567	15565	39242
568	15593	39216
569	15620	39188
570	15647	39160
571	15675	39133
572	15701	39102
573	15728	39073
574	15754	39043
575	15781	39015
576	15808	38988
577	15836	38962
578	15863	38932
579	15889	38900
580	15917	38875
581	15946	38852
582	15973	38825
583	16000	38795
584	16028	38769
585	16054	38740
586	16081	38711
587	16108	38681
588	16135	38653
589	16162	38624
590	16188	38595
591	16216	38568
592	16243	38539
593	16269	38509
594	16296	38480
595	16323	38454
596	16351	38427
597	16380	38403
598	16408	38377
599	16435	38348
600	16462	38320
601	16488	38290
602	16515	38261
603	16541	38232
604	16568	38204
605	16596	38176
606	16623	38149
607	16650	38119
608	16676	38090
609	16702	38060
610	16730	38032
611	16758	38008
612	16787	37983
613	16817	37962
614	16844	37935
615	16872	37908
616	16901	37884
617	16930	37860
618	16960	37838
619	16990	37816
620	17019	37793
621	17048	37770
622	17078	37748
623	17107	37723
624	17133	37694
625	17161	37666
626	17187	37637
627	17214	37607
628	17243	37585
629	17271	37558
630	17298	37529
631	17324	37500
632	17354	37477
633	17383	37452
634	17410	37425
635	17436	37394
636	17462	37364
637	17489	37337
638	17517	37309
639	17544	37282
640	17571	37254
641	17599	37227
642	17625	37198
643	17652	37169
644	17679	37140
645	17706	37111
646	17734	37085
647	17762	37059
648	17788	37030
649	17816	37002
650	17843	36975
651	17869	36944
652	17895	36914
653	17922	36886
654	17948	36856
655	17975	36827
656	18002	36799
657	18028	36770
658	18055	36740
659	18081	36711
660	18108	36682
661	18135	36653
662	18163	36627
663	18189	36599
664	18217	36571
665	18244	36543
666	18271	36515
667	18297	36485
668	18324	36456
669	18355	36436
670	18385	36414
671	18413	36388
672	18440	36360
673	18467	36331
674	18494	36303
675	18521	36276
676	18548	36247
677	18574	36218
678	18601	36190
679	18629	36163
680	18658	36138
681	18686	36111
682	18713	36084
683	18741	36058
684	18771	36035
685	18799	36008
686	18826	35981
687	18854	35954
688	18881	35926
689	18908	35898
690	18935	35870
691	18962	35842
692	18989	35813
693	19016	35786
694	19043	35757
695	19069	35728
696	19096	35700
697	19125	35674
698	19156	35654
699	19183	35626
700	19210	35598
701	19237	35570
702	19265	35543
703	19293	35517
704	19320	35489
705	19349	35465
706	19378	35441
707	19406	35414
708	19433	35386
709	19460	35358
710	19489	35332
711	19515	35303
712	19541	35273
713	19568	35244
714	19594	35214
715	19621	35186
716	19648	35158
717	19676	35133
718	19704	35105
719	19731	35078
720	19759	35052
721	19786	35023
722	19812	34993
723	19840	34967
724	19868	34940
725	19894	34912
726	19921	34882
727	19947	34853
728	19974	34825
729	20001	34797
730	20029	34770
731	20055	34740
732	20082	34713
733	20109	34684
734	20135	34655
735	20161	34625
736	20188	34597
737	20214	34567
738	20240	34538
739	20266	34508
740	20292	34478
741	20319	34449
742	20350	34428
743	20379	34404
744	20408	34379
745	20435	34351
746	20462	34323
747	20490	34296
748	20516	34267
749	20543	34239
750	20569	34210
751	20596	34180
752	20623	34153
753	20650	34125
754	20677	34096
755	20704	34068
756	20731	34041
757	20759	34014
758	20786	33986
759	20812	33957
760	20840	33930
761	20867	33902
762	20894	33874
763	20921	33847
764	20950	33821
765	20977	33794
766	21004	33765
767	21032	33739
768	21059	33712
769	21087	33685
770	21114	33656
771	21141	33628
772	21167	33599
773	21193	33570
774	21220	33541
775	21246	33512
776	21273	33485
777	21301	33458
778	21328	33430
779	21360	33409
780	21389	33385
781	21418	33360
782	21447	33335
783	21475	33308
784	21503	33283
785	21530	33255
786	21558	33227
787	21584	33198
788	21611	33170
789	21638	33143
790	21666	33116
791	21693	33087
792	21720	33059
793	21747	33032
794	21775	33006
795	21803	32978
796	21830	32951
797	21857	32922
798	21883	32894
799	21911	32867
800	21938	32838
801	21964	32809
802	21991	32781
803	22019	32755
804	22047	32729
805	22077	32705
806	22107	32681
807	22135	32655
808	22164	32630
809	22192	32603
810	22221	32578
811	22248	32550
812	22276	32523
813	22302	32495
814	22329	32467
815	22360	32445
816	22387	32416
817	22413	32387
818	22439	32357
819	22464	32327
820	22492	32300
821	22520	32273
822	22547	32245
823	22575	32219
824	22603	32192
825	22630	32164
826	22657	32136
827	22684	32109
828	22712	32083
829	22739	32054
830	22766	32026
831	22794	32000
832	22823	31975
833	22850	31947
834	22877	31918
835	22904	31891
836	22931	31862
837	22957	31833
838	22985	31807
839	23012	31779
840	23039	31751
841	23067	31725
842	23096	31699
843	23123	31671
844	23151	31644
845	23178	31616
846	23204	31588
847	23232	31560
848	23260	31534
849	23288	31508
850	23317	31482
851	23348	31460
852	23376	31434
853	23403	31406
854	23431	31378
855	23457	31350
856	23486	31325
857	23514	31298
858	23543	31272
859	23569	31243
860	23597	31216
861	23624	31189
862	23651	31160
863	23679	31134
864	23706	31106
865	23733	31078
866	23761	31051
867	23787	31022
868	23813	30993
869	23842	30968
870	23868	30939
871	23895	30910
872	23921	30881
873	23948	30853
874	23976	30826
875	24003	30798
876	24031	30771
877	24057	30743
878	24084	30714
879	24110	30686
880	24137	30658
881	24164	30630
882	24190	30601
883	24217	30573
884	24245	30546
885	24272	30518
886	24298	30489
887	24325	30462
888	24356	30439
889	24384	30412
890	24411	30383
891	24437	30355
892	24465	30328
893	24493	30301
894	24519	30273
895	24547	30245
896	24573	30216
897	24600	30188
898	24626	30160
899	24653	30132
900	24680	30104
901	24707	30076
902	24734	30048
903	24760	30019
904	24787	29991
905	24813	29962
906	24841	29935
907	24868	29907
908	24897	29882
909	24925	29856
910	24952	29827
911	24981	29802
912	25009	29775
913	25036	29748
914	25065	29722
915	25092	29694
916	25120	29667
917	25147	29640
918	25177	29615
919	25204	29587
920	25233	29562
921	25261	29535
922	25288	29508
923	25317	29481
924	25347	29458
925	25378	29434
926	25406	29407
927	25433	29380
